CmtSiteCode,KnsID,SiteId
165,345,217
166,346,217
167,347,217
168,348,217
169,349,217
170,351,217
171,352,217
172,353,217
173,354,217
174,355,10
175,356,10
176,357,10
177,358,10
178,359,10
179,360,10
180,361,10
181,362,10
182,363,6
183,364,6
184,365,6
185,366,6
186,367,6
197,378,1
198,379,1
199,380,1
200,381,1
201,382,1
202,383,1
203,384,1
204,385,1
212,394,14
213,395,14
214,396,1
215,398,230
216,400,243
217,402,240
224,418,263
225,420,265
226,423,272
227,424,258
228,426,264
229,427,261
235,433,271
236,434,266
237,435,269
238,436,270
243,447,238
244,448,293
245,449,290
246,450,295
250,655,4
251,656,5
254,659,8
255,660,28
258,663,13
259,664,25
262,667,14
263,668,19
265,670,306
267,674,260
270,677,309
271,678,310
272,679,317
273,680,185
274,681,312
275,682,311
276,683,314
277,684,315
278,685,249
279,687,61
280,689,318
281,690,319
282,691,322
283,692,320
284,693,324
285,694,321
286,695,308
287,696,323
288,698,293
289,699,336
290,700,337
291,701,344
292,702,339
293,703,343
294,705,374
295,706,373
296,708,266
297,710,463
298,711,514
336,868,527
337,871,29
338,873,335
339,874,209
340,876,536
341,877,537
342,878,43
343,882,539
344,884,540
345,890,541
346,892,520
347,894,249
348,895,542
349,896,525
350,897,546
351,898,543
352,900,59
353,903,544
354,904,545
355,907,556
356,909,554
357,911,558
358,913,559
359,916,560
360,918,562
361,920,565
362,921,15
363,922,2
364,923,12
365,924,25
393,958,575
394,959,576
395,961,78
396,964,577
397,965,578
398,967,580
399,968,581
400,969,582
401,970,579
402,971,583
403,972,562
404,973,565
405,974,308
406,975,584
407,976,587
408,977,591
409,980,592
410,981,510
411,982,593
412,983,527
413,984,594
414,986,597
415,987,598
416,988,599
438,2029,631
439,2030,632
440,2031,633
441,2032,634
442,2033,635
443,2034,636
444,2035,637
445,2038,643
449,2048,644
76,245,4
77,246,4
78,247,7
79,248,7
80,249,7
81,250,217
83,251,7
84,252,7
85,253,7
86,254,12
87,255,12
88,256,11
89,257,11
90,258,3
91,259,3
92,260,3
93,261,3
94,262,3
95,263,3
96,264,3
97,265,3
98,266,3
99,267,3
100,268,3
101,269,3
102,270,3
103,271,3
104,272,14
105,273,14
106,274,22
107,275,22
108,276,22
109,277,22
110,278,22
111,279,22
112,280,22
113,281,22
114,282,23
115,283,23
116,285,216
117,286,216
118,287,216
119,288,216
120,289,216
121,290,216
122,291,216
123,292,216
124,293,281
125,294,281
126,295,281
127,296,281
128,297,281
129,298,281
130,299,281
131,303,281
132,304,281
133,305,282
134,307,183
135,308,183
136,309,183
137,310,183
138,311,183
139,313,15
140,314,17
141,315,2
142,316,2
143,317,2
144,318,2
145,319,2
146,320,2
147,321,2
148,322,2
149,323,2
150,324,2
151,325,2
152,326,2
153,327,2
154,328,2
155,330,9
156,331,9
157,332,9
158,333,9
159,334,9
160,340,9
161,341,217
162,342,217
163,343,217
164,344,217
1,1,1
2,2,2
3,3,4
4,4,3
5,5,281
6,6,6
7,7,27
8,8,217
9,9,28
10,10,10
11,11,11
12,12,282
13,13,14
14,14,12
15,15,15
16,16,25
17,20,1
18,21,2
19,22,4
20,23,3
21,24,281
22,25,6
23,26,27
24,27,8
25,28,28
26,29,10
27,30,11
28,31,13
29,32,14
30,35,25
31,39,31
32,42,185
33,43,3
35,102,34
36,147,217
37,148,149
38,149,282
39,190,1
40,191,3
41,192,14
42,193,4
43,194,6
44,195,8
45,196,2
46,197,13
47,198,28
48,199,27
49,200,5
50,201,10
51,202,11
52,203,25
53,210,209
54,212,19
55,214,213
56,217,196
57,218,212
58,219,12
59,220,273
60,221,185
61,222,15
62,228,224
63,231,242
64,233,4
65,234,4
66,235,4
67,236,4
68,237,4
69,238,4
70,239,4
71,240,4
72,241,4
73,242,4
74,243,4
75,244,4
187,368,6
188,369,6
189,370,6
190,371,6
191,372,6
192,373,6
193,374,6
194,375,6
195,376,6
196,377,1
205,386,1
206,387,1
207,388,1
208,389,1
209,390,225
210,391,223
211,393,14
218,406,252
219,408,251
220,410,244
221,411,123
222,415,255
223,417,256
230,428,260
231,429,259
232,430,277
233,431,294
234,432,48
239,437,274
240,438,40
241,440,278
242,445,288
247,652,1
248,653,2
249,654,3
252,657,6
253,658,27
256,661,10
257,662,11
260,665,12
261,666,15
264,669,300
266,673,307
268,675,209
269,676,313
299,713,464
300,715,496
301,717,206
302,718,513
303,719,518
304,720,497
305,722,498
306,724,309
307,727,506
308,830,508
309,832,510
310,833,511
311,834,512
312,836,520
313,837,515
314,839,525
315,843,523
316,845,524
317,846,2
318,847,4
319,848,5
320,849,10
321,850,8
322,851,14
323,852,28
324,853,11
325,854,1
326,855,6
327,856,27
328,857,13
329,858,3
330,860,19
331,861,25
332,862,12
333,863,15
334,865,312
335,866,196
366,925,14
367,926,3
368,927,19
369,928,28
370,929,4
371,930,10
372,931,13
373,932,6
374,933,8
375,934,11
376,935,5
377,936,27
378,937,1
379,938,567
380,940,568
381,944,312
382,945,543
383,947,569
384,948,209
385,949,516
386,950,570
387,951,571
388,952,572
389,954,29
390,955,573
391,956,574
392,957,288
417,989,604
418,990,602
419,1001,605
420,1002,606
421,1004,607
422,1005,608
423,1006,501
424,1011,609
425,1012,610
426,1013,612
427,2016,617
428,2019,619
429,2020,620
430,2021,622
431,2022,623
432,2023,624
433,2024,625
434,2025,626
435,2026,627
436,2027,628
437,2028,630
446,2041,640
447,2042,641
448,2043,642
450,2049,645
451,2051,646
