PersonToPositionID,PersonID,PositionID,KnessetNum,GovMinistryID,GovMinistryName,DutyDesc,FactionID,FactionName,GovernmentNum,CommitteeID,CommitteeName,StartDate,FinishDate,IsCurrent,LastUpdatedDate
5435,522,54,14,,,,615,"המפד""ל",,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5463,531,54,14,,,,625,דגל התורה,,,,1999-02-23 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5465,2538,54,14,,,,627,מולדת,,,,1999-03-04 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5466,405,54,14,,,,627,מולדת,,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5467,1065,54,14,,,,629,מרצ,,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5468,2562,54,14,,,,629,מרצ,,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
4441,2462,39,4,143,הדואר,,,,9,,,1960-07-18 00:00:00,1961-05-30 00:00:00,False,2015-03-20 12:03:09
5469,2566,54,14,,,,629,מרצ,,,,1996-06-17 00:00:00,1999-03-17 00:00:00,False,2015-03-20 12:03:09
5483,2420,54,14,,,,633,הדרך השלישית,,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5503,965,54,14,,,,637,הליכוד-גשר-צומת,,,,1996-06-17 00:00:00,1999-02-23 00:00:00,False,2015-03-20 12:03:09
5514,478,54,14,,,,637,הליכוד-גשר-צומת,,,,1996-06-17 00:00:00,1999-02-23 00:00:00,False,2015-03-20 12:03:09
5515,2526,54,14,,,,637,הליכוד-גשר-צומת,,,,1996-06-17 00:00:00,1999-02-23 00:00:00,False,2015-03-20 12:03:09
5516,468,54,14,,,,637,הליכוד-גשר-צומת,,,,1998-11-18 00:00:00,1999-02-23 00:00:00,False,2015-03-20 12:03:09
5520,467,54,14,,,,637,הליכוד-גשר-צומת,,,,1996-06-17 00:00:00,1999-02-23 00:00:00,False,2015-03-20 12:03:09
5521,2538,54,14,,,,637,הליכוד-גשר-צומת,,,,1996-06-17 00:00:00,1999-02-23 00:00:00,False,2015-03-20 12:03:09
5529,549,54,14,,,,641,"מד""ע-רע""ם",,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5530,550,54,14,,,,641,"מד""ע-רע""ם",,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5531,554,54,14,,,,641,"מד""ע-רע""ם",,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5532,2286,54,14,,,,641,"מד""ע-רע""ם",,,,1996-06-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5533,2505,54,14,,,,643,"חד""ש",,,,1999-03-08 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5534,541,54,14,,,,643,"חד""ש",,,,1999-03-08 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5536,462,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5537,2138,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5538,464,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5539,465,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5540,2276,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5541,466,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5542,467,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5543,468,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5544,470,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5545,471,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
4442,2581,39,10,16,התחבורה התשתיות הלאומיות והבטיחות בדרכים,,,,20,,,1983-10-10 00:00:00,1984-08-13 00:00:00,False,2015-03-20 12:03:09
5547,965,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5548,474,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5551,476,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5552,478,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5553,479,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5554,2650,54,14,,,,645,הליכוד צומת,,,,1999-02-23 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5559,2468,54,14,,,,649,ישראל במרכז,,,,1999-02-23 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5560,546,54,14,,,,649,ישראל במרכז,,,,1999-02-23 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5561,544,54,14,,,,649,ישראל במרכז,,,,1999-02-23 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5562,567,54,14,,,,649,ישראל במרכז,,,,1999-02-23 00:00:00,1999-03-22 00:00:00,False,2015-03-20 12:03:09
5563,2465,54,14,,,,649,ישראל במרכז,,,,1999-02-23 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5567,2538,54,14,,,,653,מכורה,,,,1999-03-04 00:00:00,1999-03-04 00:00:00,False,2015-03-20 12:03:09
5568,412,54,14,,,,655,אמונים,,,,1999-03-04 00:00:00,1999-03-17 00:00:00,False,2015-03-20 12:03:09
5569,2532,54,14,,,,655,אמונים,,,,1999-03-04 00:00:00,1999-03-17 00:00:00,False,2015-03-20 12:03:09
5570,551,54,14,,,,657,"בל""ד-ברית לאומית דמוקרטית",,,,1999-03-08 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5571,558,54,14,,,,657,"בל""ד-ברית לאומית דמוקרטית",,,,1999-03-08 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5574,412,54,14,,,,661,תקומה,,,,1999-03-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5575,2532,54,14,,,,661,תקומה,,,,1999-03-17 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5576,557,54,14,,,,665,עם אחד,,,,1999-03-25 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5577,2449,54,14,,,,665,עם אחד,,,,1999-03-25 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5578,2345,54,14,,,,665,עם אחד,,,,1999-03-25 00:00:00,1999-06-07 00:00:00,False,2015-03-20 12:03:09
5579,2532,54,15,,,,679,האיחוד הלאומי,,,,1999-06-07 00:00:00,1999-10-20 00:00:00,False,2015-03-20 12:03:09
5580,412,54,15,,,,679,האיחוד הלאומי,,,,1999-10-20 00:00:00,2000-02-01 00:00:00,False,2015-03-20 12:03:09
5581,405,54,15,,,,679,האיחוד הלאומי,,,,1999-06-07 00:00:00,2000-02-01 00:00:00,False,2015-03-20 12:03:09
5582,427,54,15,,,,681,ישראל ביתנו,,,,1999-06-07 00:00:00,2000-02-01 00:00:00,False,2015-03-20 12:03:09
5583,430,54,15,,,,681,ישראל ביתנו,,,,1999-06-07 00:00:00,2000-02-01 00:00:00,False,2015-03-20 12:03:09
5584,565,54,15,,,,681,ישראל ביתנו,,,,1999-06-07 00:00:00,2000-02-01 00:00:00,False,2015-03-20 12:03:09
5585,421,54,15,,,,681,ישראל ביתנו,,,,1999-06-07 00:00:00,2000-02-01 00:00:00,False,2015-03-20 12:03:09
5586,552,54,15,,,,683,מחר-מפלגת חברה ורפורמות,,,,1999-07-20 00:00:00,1999-10-18 00:00:00,False,2015-03-20 12:03:09
5595,526,48,16,,,,422,דגל התורה,,,,2005-01-13 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5596,549,48,16,,,,52,"רע""מ-הרשימה הערבית המאוחדת",,,,2003-02-17 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5606,763,54,16,,,,442,התחברות,,,,2005-04-04 00:00:00,2005-05-16 00:00:00,False,2015-03-20 12:03:09
5625,557,54,16,,,,502,העבודה-מימד-עם אחד,,,,2005-05-23 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5627,2014,54,16,,,,502,העבודה-מימד-עם אחד,,,,2005-05-23 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5628,449,54,16,,,,502,העבודה-מימד-עם אחד,,,,2005-05-23 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5630,456,54,16,,,,502,העבודה-מימד-עם אחד,,,,2005-05-23 00:00:00,2006-01-17 00:00:00,False,2015-03-20 12:03:09
5632,459,54,16,,,,502,העבודה-מימד-עם אחד,,,,2005-05-23 00:00:00,2006-01-11 00:00:00,False,2015-03-20 12:03:09
5633,461,54,16,,,,502,העבודה-מימד-עם אחד,,,,2005-05-23 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5634,1043,54,16,,,,502,העבודה-מימד-עם אחד,,,,2005-05-23 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5635,454,48,16,,,,502,העבודה-מימד-עם אחד,,,,2005-05-23 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5636,1065,54,16,,,,522,מרצ-יחד והבחירה הדמוקרטית,,,,2005-07-27 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5639,505,54,16,,,,522,מרצ-יחד והבחירה הדמוקרטית,,,,2005-07-27 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5640,507,54,16,,,,522,מרצ-יחד והבחירה הדמוקרטית,,,,2005-07-27 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5644,520,48,16,,,,462,"""צל""ש - ציונות, ליברליות ושוויון""",,,,2005-05-18 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5645,4235,54,16,,,,502,העבודה-מימד-עם אחד,,,,2006-02-15 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5648,1037,54,16,,,,24,הליכוד,,,,2003-02-17 00:00:00,2006-04-17 00:00:00,False,2015-03-20 12:03:09
5652,405,54,17,,,,642,"איחוד לאומי-מפד""ל",,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5653,412,54,17,,,,642,"איחוד לאומי-מפד""ל",,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5654,763,54,17,,,,642,"איחוד לאומי-מפד""ל",,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5659,558,54,17,,,,626,"בל""ד",,,,2006-04-17 00:00:00,2007-04-24 00:00:00,False,2015-03-20 12:03:09
5661,1062,54,17,,,,626,"בל""ד",,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5669,540,54,17,,,,630,"חד""ש",,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5670,4295,54,17,,,,630,"חד""ש",,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5671,531,54,17,,,,632,יהדות התורה,,,,2006-04-17 00:00:00,2009-01-26 00:00:00,False,2015-03-20 12:03:09
5672,563,54,17,,,,632,יהדות התורה,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5675,1030,54,17,,,,622,קדימה,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5680,455,54,17,,,,624,עבודה,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5686,431,54,17,,,,624,עבודה,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5687,2014,54,17,,,,624,עבודה,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5691,454,54,17,,,,624,עבודה,,,,2006-04-17 00:00:00,2008-05-28 00:00:00,False,2015-03-20 12:03:09
4446,1025,59,16,10,החקלאות ופיתוח הכפר,,,,30,,,2005-03-30 00:00:00,2006-01-15 00:00:00,False,2015-03-20 12:03:09
5692,479,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5693,1034,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5694,1037,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5695,1027,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5696,462,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5697,476,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5698,473,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2007-02-27 00:00:00,False,2015-03-20 12:03:09
5699,477,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5705,470,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5706,535,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2006-11-21 00:00:00,False,2015-03-20 12:03:09
5707,468,54,17,,,,690,ליכוד,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
5708,430,54,17,,,,638,ישראל ביתנו,,,,2006-04-17 00:00:00,2007-01-16 00:00:00,False,2015-03-20 12:03:09
5709,4217,54,17,,,,638,ישראל ביתנו,,,,2006-04-17 00:00:00,2009-02-24 00:00:00,False,2015-03-20 12:03:09
